Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
41806245,The Taiga Syndrome,Cristina Rivera Garza,"Garza, Cristina Rivera","Suzanne Levine, Aviva Kana","=""""","=""""",3,3.56,"Dorothy, a publishing project",Kindle Edition,128,2018,2012,2020/12/01,2020/12/01,the-russian-taiga,the-russian-taiga (#3),read,,,,1,,,0,,,,,
9578031,Spurious,Lars Iyer,"Iyer, Lars",,"=""193555428X""","=""9781935554288""",5,3.55,Melville House,Paperback,188,2011,2011,2019/10/06,2019/08/05,my-cup-of-tea,my-cup-of-tea (#5),read,,,,1,,,0,,,,,
11432833,A Life of One's Own,Marion Milner,"Milner, Marion",,"=""0415550653""","=""9780415550659""",5,4.02,Routledge,Paperback,180,2011,1934,2019/10/18,2019/10/11,my-cup-of-tea,my-cup-of-tea (#4),read,,,,1,,,0,,,,,
106244,Still Life with Oysters and Lemon: On Objects and Intimacy,Mark Doty,"Doty, Mark",,"=""0807066095""","=""9780807066096""",5,4.21,Beacon Press,Paperback,70,2002,2001,2020/05/10,2020/05/10,my-cup-of-tea,my-cup-of-tea (#3),read,An ode to stillness and light. ,,,1,,,0,,,,,
244261,The Street of Crocodiles,Bruno Schulz,"Schulz, Bruno","Celina Wieniewska, Mikolaj Dutsch, Hana Jechova, Anna Vivanti Salmon, Jerzy Ficowski, Jonathan Safran Foer","=""0140186255""","=""9780140186253""",5,4.12,Penguin Group,Paperback,160,1992,1933,2020/03/19,2020/01/04,my-cup-of-tea,my-cup-of-tea (#2),read,,,,1,,,0,,,,,
38458434,The Governesses,Anne Serre,"Serre, Anne",Mark Hutchinson,"=""081122807X""","=""9780811228077""",4,3.38,New Directions,Paperback,108,2018,1992,2020/10/28,2020/09/24,my-cup-of-tea,my-cup-of-tea (#1),read,,,,1,,,0,,,,,
16386148,Consolations of the Forest,Sylvain Tesson,"Tesson, Sylvain",,"=""0141975474""","=""9780141975474""",4,3.87,Allen Lane,Hardcover,239,2012,2011,2017/10/19,2017/06/16,the-russian-taiga,the-russian-taiga (#2),read,,,,1,,,0,,,,,
22466714,The Dead Mountaineer's Inn,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Jeff VanderMeer, Josh Billings","=""161219432X""","=""9781612194325""",4,3.80,Melville House,Paperback,256,2015,1970,2020/06/25,2020/06/25,the-russian-taiga,the-russian-taiga (#1),read,,,,1,,,0,,,,,
40876575,Utopia for Realists: How We Can Build the Ideal World,Rutger Bregman,"Bregman, Rutger",,"=""""","=""""",0,4.25,"Little, Brown and Company",Kindle Edition,262,2017,2014,,2020/11/28,to-read,to-read (#166),to-read,,,,0,,,0,,,,,
50725990,Humankind: A Hopeful History,Rutger Bregman,"Bregman, Rutger",,"=""""","=""""",0,4.32,Bloomsbury Publishing,Kindle Edition,464,2020,2019,,2020/11/28,to-read,to-read (#165),to-read,,,,0,,,0,,,,,
50998820,The Flavor Equation: The Science of Great Cooking Explained in More Than 100 Essential Recipes,Nik Sharma,"Sharma, Nik",,"=""1452182698""","=""9781452182698""",0,4.21,Chronicle Books,Hardcover,352,2020,2020,,2020/11/18,"to-read, kitchen","to-read (#164), kitchen (#4)",to-read,,,,0,,,0,,,,,
8126136,Spark: The Revolutionary New Science of Exercise and the Brain,John J. Ratey,"Ratey, John J.",,"=""""","=""""",3,4.13,"Little, Brown and Company",Kindle Edition,305,2008,2008,2020/11/14,2020/11/14,,,read,,,,1,,,0,,,,,
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",0,4.19,Viking,Hardcover,288,2020,2020,,2020/11/12,to-read,to-read (#163),to-read,,,,0,,,0,,,,,
50891792,One Writer's Beginnings,Eudora Welty,"Welty, Eudora",Natasha Trethewey,"=""1982151773""","=""9781982151775""",0,4.07,Scribner,Hardcover,160,2020,1983,,2020/11/12,to-read,to-read (#162),to-read,,,,0,,,0,,,,,
45289222,Writers & Lovers,Lily King,"King, Lily",,"=""""","=""""",0,4.09,Grove Press,Hardcover,320,2020,2020,,2020/11/12,to-read,to-read (#161),to-read,,,,0,,,0,,,,,
